experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
458,False,0.3,1.63,"(242, 132)",0.4,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr3-faRZ0H0PmA.png
459,False,0.3,1.63,"(348, 370)",0.5,,0.0,0.0,0.0,"(-17, 14)",1.0458429719921174,qr3-faRZ0H0PmA.png
460,False,0.3,1.85,"(236, 323)",0.1,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr3-g5EVtP.png
461,False,0.3,1.85,"(216, 161)",0.2,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr3-g5EVtP.png
462,False,0.3,1.85,"(96, 406)",0.3,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr3-g5EVtP.png
463,False,0.3,1.85,"(199, 406)",0.4,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr3-g5EVtP.png
464,False,0.3,1.85,"(360, 285)",0.5,,0.0,0.0,0.0,"(13, -18)",0.9696969869701023,qr3-g5EVtP.png
465,True,0.3,1.32,"(187, 287)",0.1,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr3-g5EVtP.png
466,False,0.3,1.32,"(162, 471)",0.2,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr3-g5EVtP.png
467,False,0.3,1.32,"(433, 270)",0.3,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr3-g5EVtP.png
468,False,0.3,1.32,"(187, 172)",0.4,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr3-g5EVtP.png
469,False,0.3,1.32,"(414, 386)",0.5,,0.0,0.0,0.0,"(13, 10)",1.014675906524291,qr3-g5EVtP.png
470,False,0.3,1.87,"(87, 323)",0.1,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr3-iO2nTqxQr98.png
471,False,0.3,1.87,"(495, 357)",0.2,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr3-iO2nTqxQr98.png
472,False,0.3,1.87,"(394, 485)",0.3,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr3-iO2nTqxQr98.png
473,False,0.3,1.87,"(302, 423)",0.4,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr3-iO2nTqxQr98.png
474,False,0.3,1.87,"(198, 398)",0.5,,0.0,0.0,0.0,"(20, 16)",0.9017236243800311,qr3-iO2nTqxQr98.png
475,False,0.3,1.28,"(531, 87)",0.1,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr3-iO2nTqxQr98.png
476,False,0.3,1.28,"(264, 347)",0.2,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr3-iO2nTqxQr98.png
477,False,0.3,1.28,"(399, 426)",0.3,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr3-iO2nTqxQr98.png
478,False,0.3,1.28,"(239, 367)",0.4,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr3-iO2nTqxQr98.png
479,False,0.3,1.28,"(236, 392)",0.5,,0.0,0.0,0.0,"(19, -15)",0.9220375053458387,qr3-iO2nTqxQr98.png
480,True,0.3,1.2,"(448, 540)",0.1,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr3-pscejHqqS.png
481,True,0.3,1.2,"(300, 367)",0.2,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr3-pscejHqqS.png
482,False,0.3,1.2,"(198, 185)",0.3,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr3-pscejHqqS.png
483,False,0.3,1.2,"(357, 450)",0.4,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr3-pscejHqqS.png
484,False,0.3,1.2,"(254, 394)",0.5,,0.0,0.0,0.0,"(-16, -16)",1.049958914683316,qr3-pscejHqqS.png
