experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
89,True,0.2,1.46,"(496, 207)",0.5,,0.0,0.0,0.0,"(14, -11)",0.9265235728290447,_claycode2-fragment-OPuod.png
90,True,0.2,1.6,"(540, 66)",0.1,,0.0,0.0,0.0,"(-10, 19)",0.9316024275282504,_claycode2-fragment-TtAkZf4j98TBiE.png
91,False,0.2,1.6,"(231, 503)",0.2,,0.0,0.0,0.0,"(-10, 19)",0.9316024275282504,_claycode2-fragment-TtAkZf4j98TBiE.png
92,False,0.2,1.6,"(221, 445)",0.3,,0.0,0.0,0.0,"(-10, 19)",0.9316024275282504,_claycode2-fragment-TtAkZf4j98TBiE.png
93,False,0.2,1.6,"(503, 303)",0.4,,0.0,0.0,0.0,"(-10, 19)",0.9316024275282504,_claycode2-fragment-TtAkZf4j98TBiE.png
94,False,0.2,1.6,"(506, 389)",0.5,,0.0,0.0,0.0,"(-10, 19)",0.9316024275282504,_claycode2-fragment-TtAkZf4j98TBiE.png
95,True,0.2,1.92,"(291, 581)",0.1,,0.0,0.0,0.0,"(16, 10)",0.9087967682251914,_claycode2-fragment-TtAkZf4j98TBiE.png
96,True,0.2,1.92,"(181, 160)",0.2,,0.0,0.0,0.0,"(16, 10)",0.9087967682251914,_claycode2-fragment-TtAkZf4j98TBiE.png
97,True,0.2,1.92,"(437, 481)",0.3,,0.0,0.0,0.0,"(16, 10)",0.9087967682251914,_claycode2-fragment-TtAkZf4j98TBiE.png
98,True,0.2,1.92,"(521, 543)",0.4,,0.0,0.0,0.0,"(16, 10)",0.9087967682251914,_claycode2-fragment-TtAkZf4j98TBiE.png
99,False,0.2,1.92,"(338, 389)",0.5,,0.0,0.0,0.0,"(16, 10)",0.9087967682251914,_claycode2-fragment-TtAkZf4j98TBiE.png
100,True,0.2,1.81,"(547, 347)",0.1,,0.0,0.0,0.0,"(19, -16)",1.0791802575958538,_claycode2-fragment-fZ5GWiX8.png
101,True,0.2,1.81,"(213, 353)",0.2,,0.0,0.0,0.0,"(19, -16)",1.0791802575958538,_claycode2-fragment-fZ5GWiX8.png
102,False,0.2,1.81,"(393, 529)",0.3,,0.0,0.0,0.0,"(19, -16)",1.0791802575958538,_claycode2-fragment-fZ5GWiX8.png
103,False,0.2,1.81,"(157, 380)",0.4,,0.0,0.0,0.0,"(19, -16)",1.0791802575958538,_claycode2-fragment-fZ5GWiX8.png
104,False,0.2,1.81,"(337, 307)",0.5,,0.0,0.0,0.0,"(19, -16)",1.0791802575958538,_claycode2-fragment-fZ5GWiX8.png
105,True,0.2,1.88,"(213, 506)",0.1,,0.0,0.0,0.0,"(-10, 14)",1.0845814538910987,_claycode2-fragment-fZ5GWiX8.png
106,False,0.2,1.88,"(518, 514)",0.2,,0.0,0.0,0.0,"(-10, 14)",1.0845814538910987,_claycode2-fragment-fZ5GWiX8.png
107,False,0.2,1.88,"(369, 403)",0.3,,0.0,0.0,0.0,"(-10, 14)",1.0845814538910987,_claycode2-fragment-fZ5GWiX8.png
108,False,0.2,1.88,"(522, 456)",0.4,,0.0,0.0,0.0,"(-10, 14)",1.0845814538910987,_claycode2-fragment-fZ5GWiX8.png
109,False,0.2,1.88,"(384, 434)",0.5,,0.0,0.0,0.0,"(-10, 14)",1.0845814538910987,_claycode2-fragment-fZ5GWiX8.png
110,True,0.2,1.48,"(229, 617)",0.1,,0.0,0.0,0.0,"(17, -10)",0.9077044921637788,_claycode2-fragment-faRZ0H0PmA.png
111,True,0.2,1.48,"(181, 99)",0.2,,0.0,0.0,0.0,"(17, -10)",0.9077044921637788,_claycode2-fragment-faRZ0H0PmA.png
112,False,0.2,1.48,"(241, 307)",0.3,,0.0,0.0,0.0,"(17, -10)",0.9077044921637788,_claycode2-fragment-faRZ0H0PmA.png
113,False,0.2,1.48,"(346, 192)",0.4,,0.0,0.0,0.0,"(17, -10)",0.9077044921637788,_claycode2-fragment-faRZ0H0PmA.png
114,False,0.2,1.48,"(208, 221)",0.5,,0.0,0.0,0.0,"(17, -10)",0.9077044921637788,_claycode2-fragment-faRZ0H0PmA.png
115,True,0.2,1.54,"(249, 250)",0.1,,0.0,0.0,0.0,"(-18, -18)",1.00507930272326,_claycode2-fragment-faRZ0H0PmA.png
116,True,0.2,1.54,"(462, 607)",0.2,,0.0,0.0,0.0,"(-18, -18)",1.00507930272326,_claycode2-fragment-faRZ0H0PmA.png
117,True,0.2,1.54,"(148, 341)",0.3,,0.0,0.0,0.0,"(-18, -18)",1.00507930272326,_claycode2-fragment-faRZ0H0PmA.png
118,False,0.2,1.54,"(491, 308)",0.4,,0.0,0.0,0.0,"(-18, -18)",1.00507930272326,_claycode2-fragment-faRZ0H0PmA.png
